Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
ja # flat e det er ho # og på den måten så e # skil ho seg i grunnen ut ifrå øyene rundt omkring .,ja # flat e det er ho # og på den måten så e # skil ho seg i grunnen,ja # flat e det er ho # og på den måten så e # skil ho seg ut ifrå øyene rundt omkring,ja # flat e det er ho # og på den måten så e # skil ho seg i grunnen,ja # flat e det er ho # og på den måten så e # skil ho seg ut ifrå øyene,i grunn,ut ifrå øy,skilje,i grunnen,ut ifrå øyene rundt omkring,2,5,i,ut ifrå,grunn,øy,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
og e det var e # om hausten for eit par år sidan .,og e det var e # om hausten,og e det var for eit par år sidan,og e det var om hausten,og e det var for år,om haust,for år,vere,e # om hausten,for eit par år sidan,4,5,om,for,haust,år,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
der ligg båtane # langsmed stranda utan utan nokon beskyttelse for .,der ligg båtane # langsmed stranda,der ligg båtane utan utan nokon beskyttelse for,der ligg båtane langsmed stranda,der ligg båtane utan beskyttelse,langsmed strand,utan beskyttelse,ligge,# langsmed stranda,utan utan nokon beskyttelse for,3,5,langsmed,utan,strand,beskyttelse,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
ein snakka om e levevegar kva folk lever av em # i stad .,ein snakka om e levevegar,ein snakka em # i stad,ein snakka om levevegar,ein snakka i stad,om leveveg,i stad,snakke,om e levevegar,em # i stad,3,4,om,i,leveveg,stad,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
når e vegen Alnesvegen som vi kallar det blir ferdig den e går ifrå Valkvæ ut på Alnes .,når e vegen Alnesvegen som vi kallar det blir ferdig den e går ifrå Valkvæ,når e vegen Alnesvegen som vi kallar det blir ferdig den e går ut på Alnes,når e vegen Alnesvegen som vi kallar det blir ferdig den e går ifrå Valkvæ,når e vegen Alnesvegen som vi kallar det blir ferdig den e går ut på Alnes,ifrå Valkvæ,ut på Alnes,gå,ifrå Valkvæ,ut på Alnes,2,3,ifrå,ut på,Valkvæ,Alnes,PROPN,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
det vanlege var å sanke ## e løyse ut altså # krøttera ved sjutida om morgonen .,det vanlege var å sanke ## e løyse ut altså # krøttera ved sjutida,det vanlege var å sanke ## e løyse ut altså # krøttera om morgonen,det vanlege var å sanke ## e løyse ut altså # krøttera ved sjutida,det vanlege var å sanke ## e løyse ut altså # krøttera om morgonen,ved sjutid,om morgon,løyse,ved sjutida,om morgonen,2,2,ved,om,sjutid,morgon,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
som det svallast # om i dag # i nittenhundreogåtteogsytti .,som det svallast # om i dag,som det svallast # om # i nittenhundreogåtteogsytti,som det svallast # om i dag,som det svallast # om i nittenhundreogåtteogsytti,i dag,i nittenhundreogåtteogsytti,svalle,i dag,# i nittenhundreogåtteogsytti,2,3,i,i,dag,nittenhundreogåtteogsytti,NOUN,NUM,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
ja ## og eg trur eg såg det på eit museum i Bergen .,ja ## og eg trur eg såg det på eit museum,ja ## og eg trur eg såg det i Bergen,ja ## og eg trur eg såg det på museum,ja ## og eg trur eg såg det i Bergen,på museum,i Bergen,sjå,på eit museum,i Bergen,3,2,på,i,museum,Bergen,NOUN,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
e ja han var nå på # han rodde jo på Nesland til han begynte å handle og slutte .,e ja han var nå på # han rodde jo på Nesland,e ja han var nå på # han rodde jo til han begynte å handle og slutte,e ja han var nå på # han rodde jo på Nesland,e ja han var nå på # han rodde jo til han,på Nesland,til han,ro,på Nesland,til han begynte å handle og slutte,2,7,på,til,Nesland,han,PROPN,PRON,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
og at draugen kom etter han i Vestfjorden .,og at draugen kom etter han,og at draugen kom i Vestfjorden,og at draugen kom etter han,og at draugen kom i Vestfjorden,etter han,i Vestfjorden,komme,etter han,i Vestfjorden,2,2,etter,i,han,Vestfjorden,PRON,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
e når vi var og dreiv etter silda for eksempel # da veit du vi dreiv altså med # med garna hu- sånn passeleg under under e .,e når vi var og dreiv etter silda,e når vi var og dreiv for eksempel,e når vi var og dreiv etter silda,e når vi var og dreiv for eksempel,etter sild,for eksempel,drive,etter silda,for eksempel,2,2,etter,for,sild,eksempel,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
han kunne jo ha finvêret her heile vegen til du e # kom inn den gjennom Skarholmane # nordover # så fekk du han .,han kunne jo ha finvêret her heile vegen til du e # kom inn den,han kunne jo ha finvêret her heile vegen til du e # kom gjennom Skarholmane,han kunne jo ha finvêret her heile vegen til du e # kom inn den,han kunne jo ha finvêret her heile vegen til du e # kom gjennom Skarholmane,inn den,gjennom Skarholmane,komme,inn den,gjennom Skarholmane,2,2,inn,gjennom,den,Skarholmane,PRON,PROPN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
nå ein fall ut Ofoten # om vintrane # kalla vi for botning ## ho òg er ein god tater .,nå ein fall ut Ofoten,nå ein fall # om vintrane,nå ein fall ut Ofoten,nå ein fall om vintrane,ut Ofoten,om vinter,falle,ut Ofoten,# om vintrane,2,3,ut,om,Ofoten,vinter,PROPN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
og ja da ja da # om einannan # ja # alt dei fekk rom i ei skogshytte for # både for køyrarar og hoggarar .,og ja da ja da # om einannan # ja # alt dei fekk rom i ei skogshytte,og ja da ja da # om einannan # ja # alt dei fekk rom for # både for køyrarar og hoggarar,og ja da ja da # om einannan # ja # alt dei fekk rom i skogshytte,og ja da ja da # om einannan # ja # alt dei fekk rom for køyrarar,i skogshytte,for køyrar,få,i ei skogshytte,for # både for køyrarar og hoggarar,3,7,i,for,skogshytte,køyrar,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
kor mykje hadde du da for turen ## på fire dagar ?,kor mykje hadde du da for turen,kor mykje hadde du da ## på fire dagar,kor mykje hadde du da for turen,kor mykje hadde du da på dagar,for tur,på dag,ha,for turen,## på fire dagar,2,4,for,på,tur,dag,NOUN,NOUN,prepositional,prepositional,Postverbal,Norwegian_NynorskLIA
