Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"Փիլիսոփայական ֆակուլտետի երկրորդ կուրսից ինձ վռնդեցին , որովհետև ուսանողների հորդորով միզեցի լսարանի վառարանի մեջ ՝ կրակը հանգցնելու համար ։","Փիլիսոփայական ֆակուլտետի երկրորդ կուրսից ինձ վռնդեցին , որովհետև ուսանողների հորդորով միզեցի լսարանի վառարանի մեջ","Փիլիսոփայական ֆակուլտետի երկրորդ կուրսից ինձ վռնդեցին , որովհետև ուսանողների հորդորով միզեցի ՝ կրակը հանգցնելու համար","Փիլիսոփայական ֆակուլտետի երկրորդ կուրսից ինձ վռնդեցին , որովհետև ուսանողների հորդորով միզեցի վառարանի մեջ","Փիլիսոփայական ֆակուլտետի երկրորդ կուրսից ինձ վռնդեցին , որովհետև ուսանողների հորդորով միզեցի հանգցնելու համար",վառարան մեջ,հանգչել համար,միզել,լսարանի վառարանի մեջ,՝ կրակը հանգցնելու համար,3,4,մեջ,համար,վառարան,հանգչել,NOUN,VERB,postpositional,postpositional,Postverbal,Armenian
"Ես գիտեի ՝ նրանց աղջիկն ինչ է ուզում , իմ թևի վրա էլ , մաշկիս տակ , կուտ ընկած , դեռ չլավացած սպին գունավոր քնի մեջ նվվում էր :","Ես գիտեի ՝ նրանց աղջիկն ինչ է ուզում , իմ թևի վրա էլ , մաշկիս տակ ,","Ես գիտեի ՝ նրանց աղջիկն ինչ է ուզում , գունավոր քնի մեջ","Ես գիտեի ՝ նրանց աղջիկն ինչ է ուզում , թևի վրա","Ես գիտեի ՝ նրանց աղջիկն ինչ է ուզում , քնի մեջ",թև վրա,քուն մեջ,նվվալ,"իմ թևի վրա էլ , մաշկիս տակ ,",գունավոր քնի մեջ,8,3,վրա,մեջ,թև,քուն,NOUN,NOUN,postpositional,postpositional,Preverbal,Armenian
"Սերը առաջանում է ստեղծագործ փոքրամասնության ներքո , ինչպես 2008-ին , համընդհանուր սերը փոքր - ինչ անհիմն է :",Սերը առաջանում է ստեղծագործ փոքրամասնության ներքո,"Սերը առաջանում է , ինչպես 2008-ին",Սերը առաջանում է փոքրամասնության ներքո,Սերը առաջանում է ինչպես 2008-ին,փոքրամասնություն ներքո,ինչպես 2008,առաջանալ,ստեղծագործ փոքրամասնության ներքո,", ինչպես 2008-ին",3,3,ներքո,ինչպես,փոքրամասնություն,2008,NOUN,NOUN,postpositional,prepositional,Postverbal,Armenian
Վերադառնալով վրան ՝ նա կանչել տվեց վաշտապետներին և նրանց կարգադրեց նախաճաշից հետո իր վրանի առջև շարել բանակը :,Վերադառնալով վրան ՝ նա կանչել տվեց վաշտապետներին և նրանց կարգադրեց նախաճաշից հետո,Վերադառնալով վրան ՝ նա կանչել տվեց վաշտապետներին և նրանց կարգադրեց իր վրանի առջև,Վերադառնալով վրան ՝ նա կանչել տվեց վաշտապետներին և նրանց կարգադրեց նախաճաշից հետո,Վերադառնալով վրան ՝ նա կանչել տվեց վաշտապետներին և նրանց կարգադրեց վրանի առջև,նախաճաշ հետո,վրան առջև,շարել,նախաճաշից հետո,իր վրանի առջև,2,3,հետո,առջև,նախաճաշ,վրան,NOUN,NOUN,postpositional,postpositional,Preverbal,Armenian
"Եթե համբարձման պատմությունը չլիներ , մենք երբեք չէինք իմանա , թե Ս . Հարությունից հետո Քրիստոսի հետ ինչ ՛ տեղի ունեցավ , ինչպես ՛ վերամիավորվեց Հայր Աստծո հետ և այդ կատարյալ վերամիավորության պատկերը մեզ համար ինչ ՛ է , եթե ոչ կատարյալ հույս մեր իսկ ` Աստծո հետ միավորության » :","Եթե համբարձման պատմությունը չլիներ , մենք երբեք չէինք իմանա , թե Ս . Հարությունից հետո","Եթե համբարձման պատմությունը չլիներ , մենք երբեք չէինք իմանա , թե Քրիստոսի հետ","Եթե համբարձման պատմությունը չլիներ , մենք երբեք չէինք իմանա , թե Հարությունից հետո","Եթե համբարձման պատմությունը չլիներ , մենք երբեք չէինք իմանա , թե Քրիստոսի հետ",հարություն հետո,Քրիստոս հետ,ունենալ,Ս . Հարությունից հետո,Քրիստոսի հետ,4,2,հետո,հետ,հարություն,Քրիստոս,NOUN,PROPN,postpositional,postpositional,Preverbal,Armenian
"Արարողության ընթացքում հոգևոր դասը և ներկա հավատավոր ժողովուրդն առ Աստված աղոթք բարձրացրեցին Մայր Աթոռ Սուրբ Էջմիածնի և Ամենայն Հայոց Հայրապետության անսասանության , պայծառության ու շենացման համար :",Արարողության ընթացքում,առ Աստված,Արարողության ընթացքում,առ Աստված,արարողություն ընթացքում,առ աստված,բարձրանալ,Արարողության ընթացքում,առ Աստված,2,2,ընթացքում,առ,արարողություն,աստված,NOUN,NOUN,postpositional,prepositional,Preverbal,Armenian
Այսքանի համար նա բզզացող իր բլոճը բանթողից հետո քշում է ուղիղ քաղաքի սիրտը ։,Այսքանի համար,բանթողից հետո,Այսքանի համար,բանթողից հետո,այսքան համար,բանթող հետո,քշել,Այսքանի համար,բանթողից հետո,2,2,համար,հետո,այսքան,բանթող,PRON,NOUN,postpositional,postpositional,Preverbal,Armenian
"Գիտաշխատողների խոսքով ՝ սեռական կյանքի որակն ազդում է աշխատունակության վրա , ինչպես տղամարդկանց , այնպես էլ կանանց մոտ :",Գիտաշխատողների խոսքով ՝ սեռական կյանքի որակն ազդում է աշխատունակության վրա,"Գիտաշխատողների խոսքով ՝ սեռական կյանքի որակն ազդում է , ինչպես տղամարդկանց , այնպես էլ կանանց մոտ",Գիտաշխատողների խոսքով ՝ սեռական կյանքի որակն ազդում է աշխատունակության վրա,Գիտաշխատողների խոսքով ՝ սեռական կյանքի որակն ազդում է տղամարդկանց մոտ,աշխատունակություն վրա,տղամարդ մոտ,ազդել,աշխատունակության վրա,", ինչպես տղամարդկանց , այնպես էլ կանանց մոտ",2,8,վրա,մոտ,աշխատունակություն,տղամարդ,NOUN,NOUN,postpositional,postpositional,Postverbal,Armenian
Այս մասին Reuters գործակալությանը տված հարցազրույցի ժամանակ հայտնել է ՀՀ վարչապետ Կարեն Կարապետյանը :,Այս մասին,Reuters գործակալությանը տված հարցազրույցի ժամանակ,Այս մասին,հարցազրույցի ժամանակ,այս մասին,հարցազրույց ժամանակ,հայտնել,Այս մասին,Reuters գործակալությանը տված հարցազրույցի ժամանակ,2,5,մասին,ժամանակ,այս,հարցազրույց,PRON,NOUN,postpositional,postpositional,Preverbal,Armenian
Այդ զեկույցից առաջ ամերիկացիների հետ քննարկումների համար Վաշինգտոն էր մեկնել ՌԴ արտաքին հետախուզության պետ Նարիշկինը :,Այդ զեկույցից առաջ,ամերիկացիների հետ քննարկումների համար,զեկույցից առաջ,քննարկումների համար,զեկույց առաջ,քննարկում համար,մեկնել,Այդ զեկույցից առաջ,ամերիկացիների հետ քննարկումների համար,3,4,առաջ,համար,զեկույց,քննարկում,NOUN,NOUN,postpositional,postpositional,Preverbal,Armenian
"Եվ ահա այս իմաստով ամենից իրատեսաան թվացող գոնե այդ նախագիծը ևս կանգնել է արգելակման վտանգի առաջ , ինչի պատճառը ոչ միայն Հայաստանի տնտեսական վատ վիճակն է և դրանից բխող բյուջետային սահմանափակումները , այլ նաև այն , որ Հյուսիս - հարավ ավտոմայրուղին այս տարիների ընթացքում Հայաստանի բյուջեի վրա արժենալով մոտ մեկ միլիարդ դոլարին մոտ վարկային բեռ ՝ իրականում նաև դարձել է Հայաստանում միջոցների ծախսման անարդյունավետության կամ պարզապես կոռուպցիոն ռիսկերի ու մսխումների մի ահռելի օջախ :","Եվ ահա այս իմաստով ամենից իրատեսաան թվացող գոնե այդ նախագիծը ևս կանգնել է արգելակման վտանգի առաջ , ինչի պատճառը ոչ միայն Հայաստանի տնտեսական վատ վիճակն է և դրանից բխող բյուջետային սահմանափակումները , այլ նաև այն , որ Հյուսիս - հարավ ավտոմայրուղին այս տարիների ընթացքում","Եվ ահա այս իմաստով ամենից իրատեսաան թվացող գոնե այդ նախագիծը ևս կանգնել է արգելակման վտանգի առաջ , ինչի պատճառը ոչ միայն Հայաստանի տնտեսական վատ վիճակն է և դրանից բխող բյուջետային սահմանափակումները , այլ նաև այն , որ Հյուսիս - հարավ ավտոմայրուղին Հայաստանի բյուջեի վրա","Եվ ահա այս իմաստով ամենից իրատեսաան թվացող գոնե այդ նախագիծը ևս կանգնել է արգելակման վտանգի առաջ , ինչի պատճառը ոչ միայն Հայաստանի տնտեսական վատ վիճակն է և դրանից բխող բյուջետային սահմանափակումները , այլ նաև այն , որ Հյուսիս - հարավ ավտոմայրուղին տարիների ընթացքում","Եվ ահա այս իմաստով ամենից իրատեսաան թվացող գոնե այդ նախագիծը ևս կանգնել է արգելակման վտանգի առաջ , ինչի պատճառը ոչ միայն Հայաստանի տնտեսական վատ վիճակն է և դրանից բխող բյուջետային սահմանափակումները , այլ նաև այն , որ Հյուսիս - հարավ ավտոմայրուղին բյուջեի վրա",տարի ընթացքում,բյուջե վրա,արժենալ,այս տարիների ընթացքում,Հայաստանի բյուջեի վրա,3,3,ընթացքում,վրա,տարի,բյուջե,NOUN,NOUN,postpositional,postpositional,Preverbal,Armenian
"- Իրանը փորձում է չարագացնել իրադարձությունները և առայժմ բանակցություններ չի վարում Ադրբեջանի հետ խաղաղարար զորքերի հնարավոր տեղակայման շուրջ , չցանկանալով Ադրբեջանին լրացուցիչ լծակ տալ իր հետ հարաբերություններում , սակայն ստիպված է լինելու մտնել այդ հարցով անմիջական բանակցությունների ռեժիմ , օգտագործելով իր ունեցած ճնշման լծակներն Ադրբեջանի դեմ :",- Իրանը փորձում է չարագացնել իրադարձությունները և առայժմ բանակցություններ չի վարում Ադրբեջանի հետ,- Իրանը փորձում է չարագացնել իրադարձությունները և առայժմ բանակցություններ չի վարում խաղաղարար զորքերի հնարավոր տեղակայման շուրջ,- Իրանը փորձում է չարագացնել իրադարձությունները և առայժմ բանակցություններ չի վարում Ադրբեջանի հետ,- Իրանը փորձում է չարագացնել իրադարձությունները և առայժմ բանակցություններ չի վարում տեղակայման շուրջ,Ադրբեջան հետ,տեղակայում շուրջ,վարել,Ադրբեջանի հետ,խաղաղարար զորքերի հնարավոր տեղակայման շուրջ,2,5,հետ,շուրջ,Ադրբեջան,տեղակայում,PROPN,NOUN,postpositional,postpositional,Postverbal,Armenian
