Sentence,Context_PP1,Context_PP2,Context_PP1_simple,Context_PP2_simple,PP1_simple,PP2_simple,Verb,PP1,PP2,PP1_len,PP2_len,Adp1,Adp2,NP1,NP2,PP1_Pronom,PP2_Pronom,PP1_Type,PP2_Type,Position,Language
"У сваю чаргу супрацоўнікі УКДБ па Віцебскай вобласці ў ходзе праведзенай спецаперацыі канфіскавалі больш за 3,5 тыс. буклетаў , каля 7,5 тыс. налепак з лагатыпам гэтай кампаніі , кампутары , ноўтбукі , аргтэхніку і электронныя носьбіты .",У сваю чаргу супрацоўнікі УКДБ па Віцебскай вобласці,ў ходзе праведзенай спецаперацыі,У чаргу,ў спецаперацыі,у чарга,у спецаперацыя,канфіскаваць,У сваю чаргу супрацоўнікі УКДБ па Віцебскай вобласці,ў ходзе праведзенай спецаперацыі,8,4,у,у,чарга,спецаперацыя,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
У 2012 годзе сярэдняя зарплата на прадпрыемствах беларускай прамысловасці складзе каля 500 даляраў у эквіваленце .,У 2012 годзе сярэдняя зарплата на прадпрыемствах беларускай прамысловасці складзе каля 500 даляраў,У 2012 годзе сярэдняя зарплата на прадпрыемствах беларускай прамысловасці складзе у эквіваленце,У 2012 годзе сярэдняя зарплата на прадпрыемствах беларускай прамысловасці складзе каля даляраў,У 2012 годзе сярэдняя зарплата на прадпрыемствах беларускай прамысловасці складзе у эквіваленце,каля даляр,у эквівалент,скласцi,каля 500 даляраў,у эквіваленце,3,2,каля,у,даляр,эквівалент,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
Пры гэтым для дасягненні пастаўленай мэты кіраўнік дзяржавы забараніў звяртацца да дадаткова эмісіі .,Пры гэтым,для дасягненні пастаўленай мэты,Пры гэтым,для дасягненні,пры гэта,для дасягненне,забараніць,Пры гэтым,для дасягненні пастаўленай мэты,2,4,пры,для,гэта,дасягненне,PRON,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Згодна з экспертнымі ацэнакамі , у студзені - сакавіку гэтага года дзякуючы дзейсным і адэкватным стабілізацыйным мерам Нацбанка і ўрада ўдалося "" працягнуць паляпшэнне сітуацыі ў эканоміцы і грашова-крэдытнай сферы Беларусі "" .","Згодна з экспертнымі ацэнакамі , у студзені - сакавіку гэтага года","Згодна з экспертнымі ацэнакамі , дзякуючы дзейсным і адэкватным стабілізацыйным мерам Нацбанка і ўрада","Згодна з экспертнымі ацэнакамі , у студзені","Згодна з экспертнымі ацэнакамі , дзякуючы мерам",у студзень,дзякуючы мера,удацца,у студзені - сакавіку гэтага года,дзякуючы дзейсным і адэкватным стабілізацыйным мерам Нацбанка і ўрада,6,9,у,дзякуючы,студзень,мера,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"За разгляданы перыяд , паводле справаздачы Нацбанка , золатавалютныя рэзервы краіны павялічыліся за кошт станоўчых тэндэнцый ў знешнім гандлі , якія суправаджаліся ўстойлівым перавышэннем прапановы замежнай валюты над попытам на ўнутраным валютным рынку .","За разгляданы перыяд , паводле справаздачы Нацбанка , золатавалютныя рэзервы краіны",", паводле справаздачы Нацбанка ,",За перыяд,паводле справаздачы,за перыяд,паводле справаздача,павялічыцца,"За разгляданы перыяд , паводле справаздачы Нацбанка , золатавалютныя рэзервы краіны",", паводле справаздачы Нацбанка ,",11,5,за,паводле,перыяд,справаздача,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Паводле афіцыйнай статыстыкі , з пачатку года беларусы зрабілі укладаў у нацыянальнай і замежнай валютах на 4,9 трлн рублёў .","Паводле афіцыйнай статыстыкі ,",з пачатку года,Паводле статыстыкі,з пачатку,паводле статыстыка,з пачатак,зрабіць,"Паводле афіцыйнай статыстыкі ,",з пачатку года,4,3,паводле,з,статыстыка,пачатак,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"У цяперашні час у спіс уваходзяць ўжо 227 чалавек , якім забаронены ўезд у ЕС , паведаміла крыніца .",У цяперашні час,у спіс,У час,у спіс,у час,у спіс,уваходзiць,У цяперашні час,у спіс,3,2,у,у,час,спіс,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"У аўторак , 20 сакавіка , брытанская газета Daily Telegraph са спасылкай на дыпламатычныя крыніцы паведаміла , што кіраўнікі МЗС ЕС , у прыватнасці , уключаць у "" чорны спіс "" Асму Асад , жонку прэзідэнта краіны Башара Асада .","У аўторак , 20 сакавіка ,",са спасылкай на дыпламатычныя крыніцы,У аўторак,са спасылкай,у аўторак,са спасылка,паведаміць,"У аўторак , 20 сакавіка ,",са спасылкай на дыпламатычныя крыніцы,6,5,у,са,аўторак,спасылка,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
Цяпер у парламенце на разглядзе знаходзіцца Закон аб экалагічным земляробстве .,Цяпер у парламенце,Цяпер на разглядзе,Цяпер у парламенце,Цяпер на разглядзе,у парламент,на разгляд,знаходзіцца,у парламенце,на разглядзе,2,2,у,на,парламент,разгляд,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"У Германii на нiве медыцыны "" шчыруюць "" урачы з Расii , Iрана , Грэцыi , Аўстрыi , Турцыi , Румынii , Украiны , Iталii .",У Германii,на нiве медыцыны,У Германii,на нiве,у Германii,на нiва,шчыраваць,У Германii,на нiве медыцыны,2,3,у,на,Германii,нiва,PROPN,NOUN,prepositional,prepositional,Preverbal,Belarusian
На некаторых з iх спынiлася ў сваiм выступленнi на калегii старшыня Рэспублiканскага камiтэта Беларускага прафсаюза работнiкаў аховы здароўя Алена Бельская .,На некаторых з iх спынiлася ў сваiм выступленнi,На некаторых з iх спынiлася на калегii,На некаторых з iх спынiлася ў выступленнi,На некаторых з iх спынiлася на калегii,у выступленнi,на калегii,спынiцца,ў сваiм выступленнi,на калегii,3,2,у,на,выступленнi,калегii,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"А работа непасрэдна ўрача , якi нясе адказнасць за жыццё хворага чалавека , ацэньваецца ў 7322 рублi за гадзiну , што нiжэй за заробкi работнiкаў прамысловасцi , будаўнiцтва , фiзiчнай культуры і спорту , банкаўскай сферы , работнiкаў органаў дзяржаўнага кiравання , работнiкаў навуковай сферы і навуковага абслугоўвання .","А работа непасрэдна ўрача , якi нясе адказнасць за жыццё хворага чалавека , ацэньваецца ў 7322 рублi за гадзiну , што нiжэй за заробкi работнiкаў прамысловасцi , будаўнiцтва , фiзiчнай культуры і спорту , банкаўскай сферы , работнiкаў органаў дзяржаўнага кiравання , работнiкаў навуковай сферы і навуковага абслугоўвання","А работа непасрэдна ўрача , якi нясе адказнасць за жыццё хворага чалавека , ацэньваецца за гадзiну","А работа непасрэдна ўрача , якi нясе адказнасць за жыццё хворага чалавека , ацэньваецца ў рублi","А работа непасрэдна ўрача , якi нясе адказнасць за жыццё хворага чалавека , ацэньваецца за гадзiну",у рублi,за гадзiна,ацэньвацца,"ў 7322 рублi за гадзiну , што нiжэй за заробкi работнiкаў прамысловасцi , будаўнiцтва , фiзiчнай культуры і спорту , банкаўскай сферы , работнiкаў органаў дзяржаўнага кiравання , работнiкаў навуковай сферы і навуковага абслугоўвання",за гадзiну,34,2,у,за,рублi,гадзiна,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Пры гэтым упершыню за апошнiя дзесяць гадоў рэальная заработная плата знiзiлася на 3,1 працэнта , хоць увогуле па народнай гаспадарцы знiжэнне склала 0,4 працэнта .",Пры гэтым,за апошнiя дзесяць гадоў,Пры гэтым,за гадоў,пры гэты,за год,знiзiцца,Пры гэтым,за апошнiя дзесяць гадоў,2,4,пры,за,гэты,год,PRON,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Фантаны мятлушак мігцелі ў лістоце ; каляровыя калёны дыму ўздымаліся й ператвараліся ў арлоў , ці ў караблі пад ветразямі , ці ў чароды лебедзяў ; чырвоная навальніца пралівалася жоўтым дажджом ; купы срэбных дзідаў уздымаліся ў паветра , гарлаючы , рыхтык войска ў сечы , ды падалі ў Ваду-ля-Стромы з шыпеньнем сотні гарачых гадаў .","Фантаны мятлушак мігцелі ў лістоце ; каляровыя калёны дыму ўздымаліся й ператвараліся ў арлоў , ці ў караблі пад ветразямі , ці ў чароды лебедзяў ; чырвоная навальніца пралівалася жоўтым дажджом ; купы срэбных дзідаў уздымаліся ў паветра , гарлаючы , рыхтык войска ў сечы , ды падалі ў Ваду-ля-Стромы","Фантаны мятлушак мігцелі ў лістоце ; каляровыя калёны дыму ўздымаліся й ператвараліся ў арлоў , ці ў караблі пад ветразямі , ці ў чароды лебедзяў ; чырвоная навальніца пралівалася жоўтым дажджом ; купы срэбных дзідаў уздымаліся ў паветра , гарлаючы , рыхтык войска ў сечы , ды падалі з шыпеньнем сотні гарачых гадаў","Фантаны мятлушак мігцелі ў лістоце ; каляровыя калёны дыму ўздымаліся й ператвараліся ў арлоў , ці ў караблі пад ветразямі , ці ў чароды лебедзяў ; чырвоная навальніца пралівалася жоўтым дажджом ; купы срэбных дзідаў уздымаліся ў паветра , гарлаючы , рыхтык войска ў сечы , ды падалі ў Ваду-ля-Стромы","Фантаны мятлушак мігцелі ў лістоце ; каляровыя калёны дыму ўздымаліся й ператвараліся ў арлоў , ці ў караблі пад ветразямі , ці ў чароды лебедзяў ; чырвоная навальніца пралівалася жоўтым дажджом ; купы срэбных дзідаў уздымаліся ў паветра , гарлаючы , рыхтык войска ў сечы , ды падалі з шыпеньнем",у Вада-ля-Стромы,з шыпеньне,падаць,ў Ваду-ля-Стромы,з шыпеньнем сотні гарачых гадаў,2,5,у,з,Вада-ля-Стромы,шыпеньне,PROPN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Ён прыставаў да Страўсіхі , сваёй даўгавязай цёткі , і пытаўся , чаму ў яе на хвасце пёры растуць так , а не гэтак , і даўгавязая цётка Страўсіха давала яму за гэта грымака сваёй цвёрдай , як камень , нагой .","Ён прыставаў да Страўсіхі , сваёй даўгавязай цёткі , і пытаўся , чаму ў яе","Ён прыставаў да Страўсіхі , сваёй даўгавязай цёткі , і пытаўся , чаму на хвасце","Ён прыставаў да Страўсіхі , сваёй даўгавязай цёткі , і пытаўся , чаму ў яе","Ён прыставаў да Страўсіхі , сваёй даўгавязай цёткі , і пытаўся , чаму на хвасце",у яна,на хваст,расці,ў яе,на хвасце,2,2,у,на,яна,хваст,PRON,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Але ноч выдалася не палетняму цёмная , у ёй і з добрым зрокам нічога нельга было ўбачыць .","Але ноч выдалася не палетняму цёмная , у ёй","Але ноч выдалася не палетняму цёмная , і з добрым зрокам","Але ноч выдалася не палетняму цёмная , у ёй","Але ноч выдалася не палетняму цёмная , з зрокам",у яна,з зрок,убачыць,у ёй,і з добрым зрокам,2,4,у,з,яна,зрок,PRON,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Дні стаялі спякотныя , з рэдкімі пераходнымі навальніцамі , ад нагрэтай зямлі за поўнач зыходзіла цеплыня .","Дні стаялі спякотныя , з рэдкімі пераходнымі навальніцамі , ад нагрэтай зямлі","Дні стаялі спякотныя , з рэдкімі пераходнымі навальніцамі , за поўнач","Дні стаялі спякотныя , з рэдкімі пераходнымі навальніцамі , ад зямлі","Дні стаялі спякотныя , з рэдкімі пераходнымі навальніцамі , за поўнач",ад зямля,за поўнач,зыходзіць,ад нагрэтай зямлі,за поўнач,3,2,ад,за,зямля,поўнач,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
Праз колькі крокаў перад ім у цёмным небе высіўся адзінокі крыж раздарожжа .,Праз колькі крокаў перад ім,у цёмным небе,Праз крокаў,у небе,праз крок,у неба,высіцца,Праз колькі крокаў перад ім,у цёмным небе,5,3,праз,у,крок,неба,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Але , не праехаўшы і сотні крокаў , ездавы спыніўся , падумаў і крута завярнуў назад паўз крыж , на другую дарогу .","Але , не праехаўшы і сотні крокаў , ездавы спыніўся , падумаў і крута завярнуў назад паўз крыж","Але , не праехаўшы і сотні крокаў , ездавы спыніўся , падумаў і крута завярнуў назад , на другую дарогу","Але , не праехаўшы і сотні крокаў , ездавы спыніўся , падумаў і крута завярнуў назад паўз крыж","Але , не праехаўшы і сотні крокаў , ездавы спыніўся , падумаў і крута завярнуў назад на дарогу",паўз крыж,на дарога,завярнуць,паўз крыж,", на другую дарогу",2,4,паўз,на,крыж,дарога,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Цяпер ужо было відавочна , што абознік Максім Корань заблудзіў , адстаў ад сваіх , згубіў батальён , і хто ведае , куды выедзе ў гэтай цемры на незнаёмай мясцовасці .","Цяпер ужо было відавочна , што абознік Максім Корань заблудзіў , адстаў ад сваіх , згубіў батальён , і хто ведае , куды выедзе ў гэтай цемры","Цяпер ужо было відавочна , што абознік Максім Корань заблудзіў , адстаў ад сваіх , згубіў батальён , і хто ведае , куды выедзе на незнаёмай мясцовасці","Цяпер ужо было відавочна , што абознік Максім Корань заблудзіў , адстаў ад сваіх , згубіў батальён , і хто ведае , куды выедзе ў цемры","Цяпер ужо было відавочна , што абознік Максім Корань заблудзіў , адстаў ад сваіх , згубіў батальён , і хто ведае , куды выедзе на мясцовасці",у цемра,на мясцовасць,выехаць,ў гэтай цемры,на незнаёмай мясцовасці,3,3,у,на,цемра,мясцовасць,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"На другі такі ж вокліч Максім рвануў лейцы , — коні , адчуўшы нядобрае , паслухмяна кінуліся ўбок , але ў тое ж імгненне з цемры ўдарыла аўтаматная чарга .","На другі такі ж вокліч Максім рвануў лейцы , — коні , адчуўшы нядобрае , паслухмяна кінуліся ўбок , але ў тое ж імгненне","На другі такі ж вокліч Максім рвануў лейцы , — коні , адчуўшы нядобрае , паслухмяна кінуліся ўбок , але з цемры","На другі такі ж вокліч Максім рвануў лейцы , — коні , адчуўшы нядобрае , паслухмяна кінуліся ўбок , але ў імгненне","На другі такі ж вокліч Максім рвануў лейцы , — коні , адчуўшы нядобрае , паслухмяна кінуліся ўбок , але з цемры",у імгненне,з цемра,ударыць,ў тое ж імгненне,з цемры,4,2,у,з,імгненне,цемра,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Без руху з паўхвіліны Максім усёй істотай чакаў апошніх стрэлаў , якія прыкончылі б яго , але стрэлаў чамусьці не было .",Без руху,з паўхвіліны,Без руху,з паўхвіліны,без рух,з паўхвіліна,чакаць,Без руху,з паўхвіліны,2,2,без,з,рух,паўхвіліна,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Праз нейкі час , калі крыху суняўся першы спалох , у пачуццях чалавека ўзнікла адчуванне адказнасці за свой абавязак салдата .","Праз нейкі час ,",у пачуццях чалавека,Праз час,у пачуццях,праз час,у пачуцце,узнікнуць,"Праз нейкі час ,",у пачуццях чалавека,4,3,праз,у,час,пачуцце,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Як было жыць , калі пасля гэтага ўжо нічога не заставалася ў душы , апрача вечнай агіды да сябе ?","Як было жыць , калі пасля гэтага ўжо нічога не заставалася ў душы","Як было жыць , калі пасля гэтага ўжо нічога не заставалася , апрача вечнай агіды да сябе","Як было жыць , калі пасля гэтага ўжо нічога не заставалася ў душы","Як было жыць , калі пасля гэтага ўжо нічога не заставалася апрача агіды",у душа,апрача агіда,заставацца,ў душы,", апрача вечнай агіды да сябе",2,6,у,апрача,душа,агіда,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"У гэтыя хвіліны ездавы ні аб чым не думаў і нічога не адчуваў , апрача ўпартага жадання дагнаць праціўніка .",У гэтыя хвіліны,ні аб чым,У хвіліны,аб чым,у хвіліна,аб што,думаць,У гэтыя хвіліны,ні аб чым,3,3,у,аб,хвіліна,што,NOUN,PRON,prepositional,prepositional,Preverbal,Belarusian
"І коні імчалі без супынку , наўскасяк мяжыстых палосак шархатлівай збажыны , па глухой мякаці бульбянішчаў , пераехалі неглыбокі высахлы раўчук , асакаватую балацявінку і , нарэшце , непадалёку ад змрочнага лесу выбіліся на нейкую дарогу .","І коні імчалі без супынку , наўскасяк","І коні імчалі , па глухой мякаці бульбянішчаў",І коні імчалі без супынку,І коні імчалі па мякаці,без супынак,па мякаць,імчаць,"без супынку , наўскасяк",", па глухой мякаці бульбянішчаў",4,5,без,па,супынак,мякаць,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Доктар няёмка пераступіў з нагі на нагу і , відаць , не знайшоўшы , што адказаць , коратка заўважыў : — Ну , ваша справа .",Доктар няёмка пераступіў з нагі,"Доктар няёмка пераступіў на нагу і , відаць",Доктар няёмка пераступіў з нагі,Доктар няёмка пераступіў на нагу,з нага,на нага,пераступіць,з нагі,"на нагу і , відаць",2,5,з,на,нага,нага,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Пра народ у краіне хадзілі дзьве супрацьлеглыя пагалоскі , кожная з якіх увогуле мела рацыю .",Пра народ,у краіне,Пра народ,у краіне,пра народ,у краіна,хадзіць,Пра народ,у краіне,2,2,пра,у,народ,краіна,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Вучыць прафесійна сьвістаць пачалі ў школках , сьвіст увялі ў якасьці абавязковага прадмету на экзаменах у ВНУ , дзе былі тэрмінова створыны кафедры сьвісту .","Вучыць прафесійна сьвістаць пачалі ў школках , сьвіст увялі ў якасьці абавязковага прадмету","Вучыць прафесійна сьвістаць пачалі ў школках , сьвіст увялі на экзаменах у ВНУ , дзе былі тэрмінова створыны кафедры сьвісту","Вучыць прафесійна сьвістаць пачалі ў школках , сьвіст увялі ў якасьці","Вучыць прафесійна сьвістаць пачалі ў школках , сьвіст увялі на экзаменах",у якасьць,на экзамена,увесці,ў якасьці абавязковага прадмету,"на экзаменах у ВНУ , дзе былі тэрмінова створыны кафедры сьвісту",4,11,у,на,якасьць,экзамена,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Эканоміка , спрэс стаўшы касьмічнай , усё болей хірэла , і хутка ў людзей нават на добры маладзецкі сьвіст ня стала ставаць моцы .","Эканоміка , спрэс стаўшы касьмічнай , усё болей хірэла , і хутка ў людзей","Эканоміка , спрэс стаўшы касьмічнай , усё болей хірэла , і хутка нават на добры маладзецкі сьвіст","Эканоміка , спрэс стаўшы касьмічнай , усё болей хірэла , і хутка ў людзей","Эканоміка , спрэс стаўшы касьмічнай , усё болей хірэла , і хутка на сьвіст",у чалавек,на сьвіст,стаць,ў людзей,нават на добры маладзецкі сьвіст,2,5,у,на,чалавек,сьвіст,NOUN,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Для гэтых за даўгія гады іхняга жыцьця сьвіст стаў адзінай прафесіяй , бо іншага яны ня ўмелі .",Для гэтых,за даўгія гады іхняга жыцьця,Для гэтых,за гады,для гэты,за год,стаць,Для гэтых,за даўгія гады іхняга жыцьця,2,5,для,за,гэты,год,DET,NOUN,prepositional,prepositional,Preverbal,Belarusian
"Ёй параілі даведацца ў міліцыянера , што стаяў па другі бок плошчы каля круглай шкляной будкі .","Ёй параілі даведацца ў міліцыянера , што стаяў па другі бок плошчы","Ёй параілі даведацца ў міліцыянера , што стаяў каля круглай шкляной будкі","Ёй параілі даведацца ў міліцыянера , што стаяў па бок","Ёй параілі даведацца ў міліцыянера , што стаяў каля будкі",па бок,каля будка,стаяць,па другі бок плошчы,каля круглай шкляной будкі,4,4,па,каля,бок,будка,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Цяпер яна ішла па гораду ўжо з інакшым настроем : яна нібы бачыла яго поруч з сабою , свайго Трахіма .",Цяпер яна ішла па гораду,Цяпер яна ішла ўжо з інакшым настроем,Цяпер яна ішла па гораду,Цяпер яна ішла з настроем,па горад,з настрой,ісці,па гораду,ўжо з інакшым настроем,2,4,па,з,горад,настрой,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Яна жыла сярод лясоў і палёў , у ціхай вёсачцы .",Яна жыла сярод лясоў і палёў,"Яна жыла , у ціхай вёсачцы",Яна жыла сярод лясоў,Яна жыла у вёсачцы,сярод лес,у вёсачка,жыць,сярод лясоў і палёў,", у ціхай вёсачцы",4,4,сярод,у,лес,вёсачка,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
"Яна ступала на вуліцы , што перабівалі ёй шлях , кожны раз з асцярогай .","Яна ступала на вуліцы , што перабівалі ёй шлях","Яна ступала , кожны раз з асцярогай",Яна ступала на вуліцы,Яна ступала з асцярогай,на вуліца,з асцярога,ступаць,"на вуліцы , што перабівалі ёй шлях",", кожны раз з асцярогай",7,5,на,з,вуліца,асцярога,NOUN,NOUN,prepositional,prepositional,Postverbal,Belarusian
